method,method_role,mean_dispatch_cost_index,mean_constraint_violation_rate,mean_renewable_curtailment_rate,mean_topology_risk_proxy,mean_retrieval_hit_rate,composite_dispatch_score,rank_metric,runs
DSTAR-GRU,proposed,0.48933182,0.00008614,0.00040118,0.34129992,0.64609375,0.74015121,composite_dispatch_score_lower_is_better,480
Renewable-First ED,baseline,0.48937647,0.00008614,0.00044631,0.34131332,0.00000000,0.74024403,composite_dispatch_score_lower_is_better,480
Ablation-NoTopology,ablation,0.49035386,0.00008614,0.00146440,0.34160654,0.64609375,0.74228760,composite_dispatch_score_lower_is_better,480
Ablation-SmallBank,ablation,0.49124499,0.00008614,0.00242318,0.34187387,0.15989583,0.74416325,composite_dispatch_score_lower_is_better,480
Ablation-LSTMEncoder,ablation,0.49180205,0.00008614,0.00302890,0.34204099,0.64609375,0.74533893,composite_dispatch_score_lower_is_better,480
Ablation-NoSiamese,ablation,0.49247881,0.00008614,0.00377218,0.34224402,0.00000000,0.74677079,composite_dispatch_score_lower_is_better,480
CNN-LSTM Proxy,baseline,0.49418562,0.00008614,0.00567267,0.34275606,0.00000000,0.75039592,composite_dispatch_score_lower_is_better,480
Ablation-NoRetrievalBank,ablation,0.49418562,0.00008614,0.00567267,0.34275606,0.00000000,0.75039592,composite_dispatch_score_lower_is_better,480
GRU-Direct Proxy,baseline,0.49636631,0.00008614,0.00813481,0.34341027,0.00000000,0.75504976,composite_dispatch_score_lower_is_better,480
PSO Dispatch Proxy,baseline,0.50150390,0.00000000,0.01401540,0.34469313,0.00000000,0.76572147,composite_dispatch_score_lower_is_better,480
Ablation-SingleObjective,ablation,0.50150390,0.00000000,0.01401540,0.34469313,0.64609375,0.76572147,composite_dispatch_score_lower_is_better,480
GA Dispatch Proxy,baseline,0.50470581,0.00000000,0.01776406,0.34565371,0.00000000,0.77266190,composite_dispatch_score_lower_is_better,480
Reserve-Aware ED,baseline,0.51248696,0.00000000,0.02708703,0.34798805,0.00000000,0.78971320,composite_dispatch_score_lower_is_better,480
Merit-Order ED,baseline,0.51706879,0.00000000,0.03270154,0.34936260,0.00000000,0.79987179,composite_dispatch_score_lower_is_better,480
