method,method_role,mean_composite_dispatch_score,std_composite_dispatch_score,mean_constraint_violation_rate,mean_renewable_curtailment_rate,splits
DSTAR-GRU,proposed,0.85295455,0.05477114,0.00009631,0.00012608,3
Renewable-First ED,baseline,0.85352723,0.05410127,0.00008204,0.00042506,3
Ablation-NoTopology,ablation,0.85500571,0.05249298,0.00008204,0.00113187,3
Ablation-SmallBank,ablation,0.85584331,0.05191214,0.00008204,0.00153701,3
Ablation-LSTMEncoder,ablation,0.85641629,0.05163287,0.00008204,0.00181826,3
Ablation-NoSiamese,ablation,0.85718904,0.05128454,0.00008204,0.00220298,3
CNN-LSTM Proxy,baseline,0.85919829,0.05056979,0.00008204,0.00321528,3
Ablation-NoRetrievalBank,ablation,0.85919829,0.05056979,0.00008204,0.00321528,3
GRU-Direct Proxy,baseline,0.86219102,0.04983140,0.00008204,0.00474689,3
PSO Dispatch Proxy,baseline,0.86971280,0.04879564,0.00000000,0.00883863,3
Ablation-SingleObjective,ablation,0.86971280,0.04879564,0.00000000,0.00883863,3
GA Dispatch Proxy,baseline,0.87433417,0.04805301,0.00000000,0.01125006,3
Reserve-Aware ED,baseline,0.88421970,0.04621316,0.00000000,0.01642250,3
Merit-Order ED,baseline,0.89007391,0.04529016,0.00000000,0.01953515,3
