paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_der_readiness,mean_flexibility_ratio,mean_subnet_coverage,mean_kind_diversity,mean_survivability_rate,mean_runtime_s,runs
p3,CARS-MODE,proposed,0.55322842,0.07036504,0.96462327,0.11903848,0.18834244,0.00665392,0.95186892,0.58594104,0.80952381,0.75000000,0.73450929,0.00012223,21
p3,Ablation-FixedDE,ablation,0.55217215,0.07121938,0.90964503,0.11982274,0.18806031,0.00602255,0.89975130,0.51417233,0.88095238,0.75000000,0.77035137,0.00009898,21
p3,NSGA-II,baseline,0.55071321,0.08069400,0.97525001,0.11900153,0.18804466,0.00665392,0.94470046,0.57959184,0.80952381,0.75000000,0.74660453,0.00009079,21
p3,MOEA/D,baseline,0.55046517,0.08070132,0.97503425,0.11900240,0.18805237,0.00665414,0.94623656,0.58639456,0.80952381,0.75000000,0.74408788,0.00009652,21
p3,PSO,baseline,0.54847333,0.06953398,0.86403165,0.12047198,0.18530126,0.00310464,0.73547259,0.37509448,1.00000000,0.77380952,0.90207692,0.00011592,21
p3,Ablation-NoRepair,ablation,0.54142399,0.21503893,1.16653135,0.11833649,0.18268464,0.00665392,0.79032258,0.41428571,1.00000000,0.75000000,0.96431881,0.00007262,21
p3,GA,baseline,0.53761436,0.06641726,0.88538295,0.11941671,0.18590611,0.00308379,0.74246428,0.38437264,0.95238095,0.75000000,0.88764196,0.00011598,21
p3,Standard DE,baseline,0.53448908,0.06221171,0.86032605,0.12024955,0.18643565,0.00373342,0.74941787,0.37953515,0.92063492,0.73809524,0.86448162,0.00012595,21
p3,Ablation-NoDiversity,ablation,0.46983742,0.06349762,0.59089958,0.12324902,0.19240373,0.00372562,1.00000000,1.00000000,1.00000000,0.25000000,0.50092252,0.00007641,21
p3,Weighted Sum,baseline,0.45442094,0.07013066,0.40383498,0.12599887,0.19240373,0.00004059,1.00000000,1.00000000,1.00000000,0.25000000,0.50908782,0.00007557,21
p3,Ablation-NoDER,ablation,0.40640036,0.09952422,0.76269603,0.12404387,0.18005602,0.00000000,0.32488480,0.00000000,1.00000000,0.27380952,1.00000000,0.00004920,21
