paper,method,method_role,mean_hypervolume_proxy,mean_constraint_violation_rate,mean_investment_cost_index,mean_loss_index,mean_voltage_risk,mean_hosting_capacity,mean_survivability_rate,mean_runtime_s,runs
p3,Ablation-NoDER,ablation,0.60012131,0.02000762,0.75328395,0.12433393,0.18000762,0.00000000,1.00000000,0.00006162,21
p3,Standard DE,baseline,0.51681058,0.03038206,0.86047739,0.12076181,0.18578323,0.00066371,0.88854425,0.00015329,21
p3,PSO,baseline,0.51504880,0.02943091,0.83949963,0.12097712,0.18561277,0.00056451,0.89116381,0.00015006,21
p3,GA,baseline,0.50700685,0.02855549,0.86340922,0.11952858,0.18632947,0.00053549,0.87834143,0.00015064,21
p3,CARS-MODE,proposed,0.50073665,0.03135387,0.95210958,0.11995579,0.18609544,0.00090261,0.86092366,0.00011665,21
p3,Ablation-FixedDE,ablation,0.47178770,0.04383035,0.89613432,0.12013422,0.18763068,0.00102048,0.79827349,0.00011091,21
p3,Ablation-NoRepair,ablation,0.46969837,0.18921599,1.16653135,0.11833649,0.18268464,0.00118292,0.96431881,0.00009093,21
p3,NSGA-II,baseline,0.45984319,0.05472028,0.90196277,0.11998424,0.18789387,0.00104521,0.78013222,0.00012331,21
p3,MOEA/D,baseline,0.45902053,0.05469358,0.90232632,0.11998190,0.18786718,0.00104524,0.77852464,0.00011479,21
p3,Ablation-NoDiversity,ablation,0.44452758,0.02893800,0.94336979,0.11911237,0.18893800,0.00118292,0.71031881,0.00009621,21
p3,Weighted Sum,baseline,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.50908782,0.00009578,21
