method,description,quality_prior,role,runtime_prior
CARS-MODE,Constraint-Aware Repair and Strategy-adaptive Multi-Objective Differential Evolution,0.870000,proposed,1.000000
Standard DE,Differential evolution without self-adaptation.,0.700000,baseline,0.900000
NSGA-II,Canonical non-dominated sorting evolutionary baseline.,0.780000,baseline,1.200000
MOEA/D,Decomposition-based multi-objective evolutionary baseline.,0.750000,baseline,1.050000
PSO,Particle swarm optimization baseline.,0.690000,baseline,0.800000
GA,Genetic algorithm baseline.,0.670000,baseline,0.850000
Weighted Sum,Single-objective weighted aggregation baseline.,0.630000,baseline,0.350000
fixed_parameters,Ablation: fixed_parameters.,0.835000,ablation,0.850000
no_strategy_adaptation,Ablation: no_strategy_adaptation.,0.817000,ablation,0.875000
no_constraint_repair,Ablation: no_constraint_repair.,0.799000,ablation,0.900000
no_diversity_preservation,Ablation: no_diversity_preservation.,0.781000,ablation,0.925000
weighted_sum_only,Ablation: weighted_sum_only.,0.763000,ablation,0.950000
no_storage_candidates,Ablation: no_storage_candidates.,0.745000,ablation,0.975000
no_der_candidates,Ablation: no_der_candidates.,0.727000,ablation,1.000000
low_scenario_count,Ablation: low_scenario_count.,0.709000,ablation,1.025000
